index,address,subway_station,subway_station.1,subway_station.2,police,police.1,police.2,primary_school,primary_school.1,primary_school.2,university,university.1,university.2,library,library.1,library.2,night_club,night_club.1,night_club.2,shopping_mall,shopping_mall.1,shopping_mall.2,supermarket,supermarket.1,supermarket.2,bus_station,bus_station.1,bus_station.2,park,park.1,park.2,church,church.1,church.2,hospital,hospital.1,hospital.2,latitude,longitude,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label
3633,文化三路１２８號七樓,0.0,1.0,3.0,2.0,3.0,8.0,0.0,5.0,19.0,0.0,0.0,7.0,1.0,2.0,7.0,1.0,3.0,5.0,1.0,4.0,19.0,9.0,21.0,50.0,2.0,4.0,17.0,5.0,22.0,60.0,2.0,10.0,35.0,5.0,30.0,52.0,25.0561066,121.3647197,2020-07-18,12000000,104076,1986-03-12,7,7.0,115.3,3,2,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,12547 days,34.0,2,2,2,1,1,1,2,1
3634,天母西路１２０巷３７號十九樓,0.0,1.0,5.0,0.0,3.0,10.0,0.0,6.0,21.0,4.0,22.0,44.0,3.0,9.0,25.0,0.0,4.0,10.0,0.0,2.0,13.0,3.0,17.0,55.0,1.0,8.0,37.0,7.0,21.0,60.0,1.0,16.0,60.0,52.0,60.0,60.0,25.1182296,121.5225801,2020-07-08,99000000,264542,2006-11-27,19,23.0,517.55,2,2,4,Other,Residential Apartment/Condo (11F+ with elevators),2020,4972 days,13.0,1,2,1,0,0,0,1,0
3635,石牌路一段１７號四樓,0.0,3.0,6.0,4.0,7.0,10.0,2.0,6.0,19.0,0.0,9.0,32.0,2.0,7.0,22.0,0.0,3.0,10.0,0.0,2.0,14.0,5.0,14.0,55.0,0.0,11.0,46.0,5.0,15.0,60.0,5.0,16.0,60.0,4.0,7.0,60.0,25.1129063,121.5097777,2020-07-20,47000000,138455,2013-11-08,4,12.0,339.46,4,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2446 days,6.0,2,0,1,1,1,1,1,1
3636,敦化南路二段１２８號四樓,1.0,4.0,18.0,0.0,5.0,24.0,2.0,7.0,42.0,12.0,33.0,60.0,3.0,14.0,60.0,2.0,10.0,60.0,2.0,7.0,60.0,12.0,28.0,60.0,5.0,23.0,60.0,10.0,32.0,60.0,16.0,46.0,60.0,5.0,21.0,60.0,25.0261242,121.5482474,2020-07-05,30000000,268049,1979-02-19,4,16.0,111.92,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,15112 days,41.0,0,1,0,0,0,0,2,0
3637,金華街１０６巷１０號二樓,1.0,3.0,5.0,0.0,3.0,14.0,3.0,8.0,18.0,13.0,25.0,34.0,6.0,21.0,40.0,0.0,2.0,5.0,6.0,14.0,15.0,7.0,24.0,31.0,8.0,23.0,42.0,11.0,45.0,60.0,17.0,53.0,60.0,4.0,37.0,44.0,25.0299341,121.5259181,2020-07-09,16350000,269089,2014-05-13,2,6.0,80.23,1,1,1,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,2249 days,6.0,0,1,1,0,0,0,2,0
3640,安居街３８號三樓,1.0,2.0,17.0,1.0,2.0,28.0,1.0,2.0,39.0,1.0,24.0,60.0,1.0,6.0,59.0,3.0,7.0,60.0,1.0,3.0,60.0,6.0,14.0,60.0,4.0,11.0,60.0,7.0,33.0,60.0,8.0,26.0,60.0,2.0,6.0,60.0,25.02057,121.5542539,2020-06-30,20880000,192035,1983-11-04,3,7.0,108.73,3,2,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,13388 days,36.0,2,0,0,3,3,3,2,0
3642,興隆路二段２７５巷１弄２號十三樓,0.0,2.0,10.0,2.0,4.0,17.0,3.0,7.0,32.0,3.0,12.0,60.0,2.0,3.0,42.0,1.0,2.0,11.0,0.0,0.0,10.0,4.0,5.0,49.0,3.0,7.0,60.0,8.0,24.0,60.0,5.0,13.0,60.0,1.0,17.0,60.0,25.0028303,121.5528068,2020-03-08,14000000,171422,1994-10-18,13,13.0,81.67,3,2,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,9273 days,25.0,2,0,1,3,3,3,2,1
3645,仁愛路二段２０巷５號三樓之２,1.0,5.0,7.0,1.0,8.0,17.0,0.0,6.0,10.0,5.0,23.0,48.0,3.0,29.0,40.0,0.0,1.0,5.0,1.0,14.0,24.0,6.0,19.0,27.0,3.0,26.0,48.0,6.0,36.0,60.0,11.0,44.0,60.0,4.0,33.0,60.0,25.0370177,121.5263267,2020-06-29,9360000,246705,1991-01-04,3,5.0,37.94,1,1,1,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,10769 days,29.0,0,1,1,0,0,0,2,0
3646,西園路二段３７２巷１０１弄２２號四樓,0.0,0.0,1.0,0.0,3.0,8.0,1.0,6.0,12.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,7.0,1.0,1.0,3.0,3.0,9.0,26.0,0.0,3.0,6.0,6.0,39.0,51.0,5.0,10.0,23.0,5.0,8.0,19.0,25.0277833,121.4902542,2019-08-01,2700000,79599,1970-11-30,4,5.0,33.92,1,1,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2019,17776 days,48.0,2,0,2,1,1,1,2,1
3647,華西街１７之４號八樓之３,1.0,1.0,3.0,5.0,9.0,13.0,2.0,7.0,10.0,0.0,10.0,12.0,2.0,7.0,13.0,6.0,14.0,29.0,5.0,7.0,25.0,7.0,21.0,32.0,7.0,16.0,31.0,14.0,33.0,60.0,3.0,16.0,26.0,12.0,35.0,42.0,25.0370335,121.4983825,2020-06-15,2450000,62500,1982-10-18,8,8.0,39.2,2,1,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,13755 days,37.0,0,2,2,1,1,1,2,1
