,latitude,longitude,police_500,police_1000,police_3000,hospital_500,hospital_1000,hospital_3000,shopping_mall_500,shopping_mall_1000,shopping_mall_3000,library_500,library_1000,library_3000,bus_station_500,bus_station_1000,bus_station_3000,university_500,university_1000,university_3000,primary_school_500,primary_school_1000,primary_school_3000,church_500,church_1000,church_3000,night_club_500,night_club_1000,night_club_3000,supermarket_500,supermarket_1000,supermarket_3000,subway_station_500,subway_station_1000,subway_station_3000,park_500,park_1000,park_3000
臺北市文山區木柵路一段59巷16號6樓,24.9875719,121.5462178,1,5,25,0,12,60.0,0,0,13.0,3,8,44,3,21.0,60.0,9,15,60.0,0,6,41,2,27.0,60.0,0,2,13,1,11,60.0,0,2,12,5,20,60
臺北市中正區?門街,25.0421407,121.5198716,5,17,34,31,53,60.0,2,22,57.0,10,30,47,9,40.0,60.0,10,37,45.0,1,3,5,12,45.0,60.0,1,9,58,1,9,23.0,2,4,10,9,35,57
臺北市文山區萬盛街166巷1號4樓,25.0051498,121.5434944,2,6,21,0,3,60.0,0,2,17.0,0,6,49,0,5.0,60.0,0,50,60.0,1,9,42,2,19.0,60.0,1,3,18,1,10,60.0,0,1,12,8,37,60
臺北市萬華區康定路105號15樓之1,25.03923,121.502326,4,15,16,23,40,48.0,3,24,28.0,4,11,22,7,30.0,38.0,7,10,19.0,2,4,12,9,14.0,27.0,6,27,28,8,20,25.0,0,3,3,11,37,60
臺北市內湖區內湖路二段263巷19號四樓,25.0831154,121.5900478,1,3,12,11,13,60.0,1,1,22.0,1,1,12,7,13.0,41.0,9,9,34.0,1,2,18,7,17.0,54.0,2,5,6,5,10,50.0,1,2,7,8,26,60
臺北市中山區龍江路356巷58號3樓,25.065863,121.538684,1,1,5,2,17,26.0,3,6,10.0,0,4,9,6,19.0,27.0,0,20,25.0,1,3,7,2,21.0,34.0,0,1,10,13,20,31.0,0,2,3,4,27,52
臺北市中山區新生北路三段76號9樓,25.066548,121.527398,0,3,7,18,38,53.0,1,8,16.0,3,8,14,2,16.0,29.0,4,20,22.0,3,3,8,10,31.0,47.0,7,38,53,6,19,32.0,1,4,5,15,42,60
臺北市內湖區陽光街204號3樓,25.0742242,121.5800639,0,2,20,4,8,60.0,2,5,39.0,0,1,16,1,13.0,57.0,0,6,37.0,0,1,24,6,15.0,60.0,0,1,18,3,10,60.0,0,2,9,5,21,60
臺北市內湖區內湖路三段59巷10號3樓,25.085635,121.592018,1,4,12,11,12,60.0,0,1,12.0,0,2,12,7,9.0,40.0,1,9,34.0,1,3,15,6,16.0,54.0,2,4,6,3,10,39.0,1,1,7,8,28,60
臺北市中山區基湖路157巷5號12樓,25.0767099,121.5640325,0,2,16,0,6,60.0,1,7,48.0,0,1,25,0,7.0,59.0,0,3,45.0,2,3,26,0,6.0,60.0,0,1,17,0,8,60.0,0,1,8,13,35,60
臺北市內湖區大湖山莊街２０２巷１號四樓,25.0881539,121.5983503,0,3,11,1,5,60.0,0,0,9.0,0,0,10,0,8.0,35.0,0,1,31.0,1,3,14,3,11.0,52.0,1,3,6,2,5,41.0,0,2,6,10,30,60
臺北市萬華區中華路一段１２巷１號,25.0475939,121.509141,4,16,24,10,57,60.0,10,55,60.0,2,17,30,11,45.0,57.0,4,27,34.0,1,3,7,4,29.0,50.0,11,28,32,2,15,24.0,2,4,6,9,28,45
臺北市中山區錦州街50號八樓之22,25.0601522,121.5262997,2,4,19,28,55,60.0,6,16,34.0,4,13,21,1,22.0,42.0,4,19,27.0,2,7,13,8,41.0,60.0,34,60,60,7,20,29.0,1,4,6,10,46,60
臺北市信義區松智路２９巷１０號２樓,25.0313236,121.5658809,5,9,13,3,27,43.0,14,29,36.0,2,10,14,6,16.0,29.0,3,20,27.0,1,6,8,6,22.0,40.0,9,18,22,3,14,27.0,2,2,3,10,38,58
臺北市松山區民生東路五段１３７巷４弄９號二樓,25.0599076,121.5619852,4,5,6,4,23,37.0,1,2,8.0,2,3,12,0,6.0,15.0,1,3,7.0,4,7,10,12,21.0,40.0,1,3,10,6,19,27.0,0,1,2,9,35,55
臺北市信義區永吉路225巷5弄25號,25.046484,121.574876,2,3,5,4,23,41.0,4,8,22.0,4,9,13,8,20.0,26.0,0,3,8.0,2,8,12,9,41.0,54.0,2,14,21,7,20,30.0,1,3,5,13,44,60
臺北市信義區松山路４６５巷２７弄１７號,25.0404593,121.5789142,1,6,8,8,28,37.0,0,3,22.0,2,10,14,3,11.0,21.0,0,2,6.0,2,9,15,14,33.0,43.0,6,11,17,7,17,26.0,1,2,5,8,41,60
臺北市北投區實踐街４１號三樓,25.1153003,121.5091659,0,7,11,4,7,60.0,0,2,14.0,2,7,22,0,12.0,42.0,1,14,33.0,2,5,20,7,14.0,60.0,0,3,11,5,13,56.0,0,2,7,5,25,60
臺北市北投區幽雅路7號7樓之16,25.1372467,121.5134154,0,1,8,8,12,60.0,0,0,3.0,0,1,18,1,1.0,26.0,1,1,40.0,0,2,16,3,6.0,45.0,0,0,11,0,2,38.0,0,0,5,6,23,60
臺北市北投區榮華一路2巷15號7樓,25.1128007,121.5235574,0,5,13,20,60,60.0,0,6,14.0,1,8,27,0,11.0,39.0,0,6,42.0,2,9,22,6,28.0,60.0,1,5,9,5,27,53.0,0,2,5,5,24,60
臺北市士林區中山北路七段181巷22弄7號4樓,25.1252219,121.5314028,1,1,11,1,6,60.0,0,2,10.0,3,4,23,0,0.0,18.0,1,2,46.0,0,2,18,5,8.0,60.0,1,1,8,3,11,50.0,0,0,3,8,19,60
臺北市士林區延平北路八段８０巷５３弄７號,25.1065655,121.4858823,0,0,2,0,0,8.0,0,1,9.0,0,0,12,0,0.0,16.0,0,0,14.0,1,1,10,0,0.0,15.0,0,0,5,0,0,26.0,0,0,2,0,4,60
臺北市士林區延平北路六段１１５巷３１號,25.0887406,121.5080786,1,1,21,4,4,60.0,2,4,33.0,1,2,32,1,1.0,57.0,0,0,21.0,0,2,19,5,6.0,60.0,2,2,18,5,7,57.0,0,0,7,7,17,60
臺北市北投區明德路20號,25.1069838,121.5176363,0,5,16,3,10,60.0,1,5,24.0,0,2,29,2,14.0,46.0,0,2,51.0,1,5,24,5,20.0,60.0,2,5,13,4,12,60.0,1,3,5,6,21,60
臺北市北投區崗山路21號二樓之1,25.1411968,121.4864442,0,1,4,0,1,38.0,0,0,1.0,0,3,12,2,4.0,18.0,0,3,24.0,2,2,13,0,2.0,30.0,0,1,7,2,4,23.0,1,1,6,4,10,60
臺北市士林區承德路四段８３號八樓之１,25.082833,121.523635,0,5,21,1,5,60.0,3,9,34.0,0,2,28,3,7.0,60.0,1,10,48.0,1,2,22,3,8.0,60.0,4,7,44,3,7,60.0,1,1,8,11,22,60
臺北市士林區通河街325巷4之4號,25.0814423,121.5180452,0,4,25,1,5,60.0,1,8,34.0,0,4,32,0,8.0,60.0,0,2,34.0,0,4,22,4,13.0,60.0,2,5,50,2,7,60.0,0,1,8,5,25,60
臺北市大安區基隆路二段１３２巷２７之３號,25.0279477,121.5556081,1,4,28,2,40,60.0,1,7,60.0,0,8,60,5,20.0,60.0,4,23,60.0,2,6,38,15,44.0,60.0,2,10,60,7,32,60.0,0,3,15,8,35,60
臺北市大安區新生南路一段９７巷３８之１號六樓,25.0410703,121.5359089,3,8,10,4,33,60.0,1,22,41.0,3,15,23,9,24.0,51.0,11,15,28.0,2,4,11,10,37.0,60.0,1,8,29,3,16,32.0,1,3,6,8,38,60
臺北市大安區和平東路三段308巷39弄5號四樓,25.0192168,121.5555194,1,2,25,1,7,60.0,1,2,55.0,1,5,56,4,11.0,60.0,1,12,60.0,0,2,38,7,18.0,60.0,2,4,54,2,13,60.0,1,2,15,10,30,60
臺北市大安區市民大道三段１８０號十四樓,25.0443276,121.5377299,0,7,12,3,37,60.0,2,26,39.0,2,12,22,7,29.0,50.0,11,20,29.0,1,7,12,9,48.0,60.0,4,18,46,5,18,28.0,0,3,5,10,41,60
臺北市大安區安和路一段45號9樓,25.038636,121.5510541,0,3,6,57,60,60.0,11,25,34.0,1,9,21,13,33.0,46.0,4,9,17.0,4,7,14,17,53.0,60.0,18,33,39,5,25,37.0,1,5,5,3,29,55
臺北市文山區福興路４６巷２弄９號,25.0033024,121.5512744,2,3,17,1,17,60.0,0,0,11.0,1,3,45,1,7.0,60.0,3,11,60.0,3,7,33,5,17.0,60.0,1,3,13,4,7,53.0,0,2,10,8,26,60
臺北市文山區一壽街５８號６樓,24.9790829,121.5559864,0,1,20,0,4,60.0,0,2,11.0,2,2,44,0,4.0,60.0,0,1,49.0,1,2,34,2,6.0,60.0,0,0,13,3,8,60.0,0,0,10,6,24,60
臺北市大安區延吉街１３７巷２號六樓,25.0418643,121.5545828,0,1,8,23,60,60.0,6,23,46.0,0,13,24,8,23.0,48.0,4,6,19.0,1,5,11,18,44.0,60.0,13,27,41,3,20,35.0,2,3,7,3,28,53
臺北市士林區重慶北路四段２２２號十四樓之２,25.085908,121.5114217,0,3,17,3,5,60.0,3,5,31.0,1,3,29,0,3.0,60.0,0,0,30.0,0,2,20,1,11.0,60.0,1,2,27,3,9,57.0,0,0,6,5,21,60
臺北市士林區中山北路六段167號,25.1071651,121.5248285,1,1,15,2,36,60.0,3,6,21.0,0,3,29,3,14.0,46.0,1,3,53.0,1,5,22,5,29.0,60.0,2,3,11,4,20,57.0,0,2,6,11,29,60
臺北市內湖區內湖路二段３５５巷１９號６樓,25.0843848,121.5923538,1,4,12,11,13,60.0,1,1,13.0,0,1,12,7,9.0,40.0,1,9,34.0,1,3,17,7,17.0,53.0,2,4,6,5,10,46.0,1,3,7,8,27,60
臺北市內湖區康寧路三段９９巷８弄１０號４樓,25.0718939,121.6104624,0,3,18,14,18,60.0,1,1,19.0,2,3,16,3,9.0,59.0,1,2,25.0,4,6,20,5,9.0,60.0,0,0,9,7,14,53.0,1,2,9,8,25,60
臺北市中山區長春路１６０號３樓,25.0546918,121.5323641,1,5,10,9,42,60.0,2,14,40.0,3,7,17,14,30.0,47.0,1,24,42.0,2,5,9,11,44.0,60.0,13,60,60,2,18,31.0,1,2,6,14,47,60
臺北市內湖區內湖路二段２６５號１２樓之５,25.0822048,121.5903439,1,3,12,11,13,60.0,1,1,21.0,1,1,12,7,13.0,41.0,9,9,34.0,1,2,19,7,17.0,55.0,2,5,6,5,10,50.0,1,2,7,8,24,60
臺北市士林區中山北路七段８１巷３０號７樓之４,25.122334,121.5292504,1,1,12,3,52,60.0,0,2,11.0,2,7,23,0,1.0,27.0,1,7,47.0,1,5,20,7,10.0,60.0,1,1,8,7,13,51.0,0,0,4,11,25,60
臺北市松山區光復南路２２巷３４號８樓,25.0468075,121.5556081,0,5,9,12,60,60.0,1,22,44.0,5,13,24,0,18.0,39.0,0,12,17.0,0,8,13,12,54.0,60.0,2,25,37,3,18,36.0,0,4,6,11,27,55
臺北市信義區松山路１４４號４樓,25.0469861,121.5776163,2,4,5,5,33,36.0,5,7,15.0,4,9,12,10,17.0,23.0,0,3,7.0,3,9,11,6,37.0,51.0,3,13,18,5,18,29.0,1,3,4,17,44,60
臺北市信義區忠孝東路四段５５３巷１６號４樓之２,25.0428015,121.5629038,1,1,6,2,35,60.0,9,33,46.0,4,13,19,7,21.0,37.0,2,8,16.0,0,3,10,4,34.0,60.0,2,19,41,1,16,35.0,1,3,5,4,30,60
臺北市南港區福德街３３９巷５弄４號３樓,25.0383935,121.5891904,0,1,20,0,15,41.0,0,0,51.0,2,5,27,0,2.0,43.0,0,1,29.0,2,6,21,4,11.0,60.0,2,3,33,1,8,41.0,0,0,7,9,28,60
臺北市南港區重陽路１９９巷２０號８樓之１,25.0567124,121.5990323,4,6,17,0,1,60.0,0,6,28.0,0,4,33,1,11.0,52.0,0,0,19.0,2,3,25,2,10.0,60.0,0,1,12,2,5,51.0,0,2,8,8,24,60
臺北市士林區忠義街１５１號３樓之１,25.1087813,121.5328898,0,2,14,29,34,60.0,2,5,19.0,2,5,29,0,2.0,34.0,0,4,55.0,2,8,22,8,20.0,60.0,0,1,11,6,18,49.0,0,0,4,6,19,60
