,subway_station_500m,subway_station_1000m,subway_station_3000m,police_500m,police_1000m,police_3000m,primary_school_500m,primary_school_1000m,primary_school_3000m,university_500m,university_1000m,university_3000m,library_500m,library_1000m,library_3000m,night_club_500m,night_club_1000m,night_club_3000m,shopping_mall_500m,shopping_mall_1000m,shopping_mall_3000m,supermarket_500m,supermarket_1000m,supermarket_3000m,bus_station_500m,bus_station_1000m,bus_station_3000m,park_500m,park_1000m,park_3000m,church_500m,church_1000m,church_3000m,hospital_500m,hospital_1000m,hospital_3000m,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label,latitude,longitude,geometry,TOWNCODE,TOWNNAME,VILLNAME,VILLENG,TOWNNAME_EN,COUNTYNAME,TTL_INCOME,AVG,MEDIAN,QUANTILE1,QUANTILE3,STD,VAR,edu_age_15up_total,edu_doctor,edu_master,edu_undergrad,edu_cc,edu_senior,edu_junior,edu_primary
727,1.0,2.0,5.0,1.0,3.0,7.0,1.0,7.0,16.0,1.0,2.0,30.0,1.0,3.0,14.0,2.0,4.0,8.0,0.0,0.0,3.0,4.0,9.0,31.0,0.0,6.0,27.0,17.0,32.0,60.0,6.0,19.0,36.0,12.0,20.0,58.0,2020-04-16,1050000,89210,1978-04-04,1,8.0,11.77,1,1,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,15353 days,42.0,0,0,2,1,1,1,2,1,25.1371124,121.5057966,POINT (121.5057966 25.1371124),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
728,0.0,0.0,5.0,0.0,1.0,8.0,0.0,2.0,16.0,1.0,1.0,40.0,0.0,1.0,18.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,38.0,1.0,1.0,26.0,6.0,23.0,60.0,3.0,6.0,45.0,8.0,12.0,60.0,2021-11-19,6200000,127049,2009-02-05,13,13.0,48.8,0,0,0,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2021,4670 days,12.0,2,0,1,1,1,1,2,1,25.1372467,121.5134154,POINT (121.5134154 25.1372467),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
729,1.0,2.0,5.0,1.0,3.0,7.0,1.0,7.0,16.0,1.0,2.0,30.0,1.0,3.0,14.0,2.0,4.0,8.0,0.0,0.0,3.0,4.0,9.0,31.0,0.0,6.0,27.0,17.0,32.0,60.0,6.0,19.0,36.0,12.0,20.0,58.0,2020-04-25,6500000,139097,1978-04-04,2,8.0,46.73,1,1,1,Reinforced Concrete,Studio,2020,15362 days,42.0,0,0,2,1,1,1,2,1,25.1371124,121.5057966,POINT (121.5057966 25.1371124),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
730,0.0,0.0,5.0,0.0,1.0,8.0,0.0,2.0,16.0,1.0,1.0,37.0,0.0,1.0,18.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,39.0,0.0,1.0,26.0,7.0,23.0,60.0,2.0,9.0,47.0,3.0,12.0,60.0,2020-03-19,53880000,202328,2014-04-11,2,5.0,298.5,3,2,3,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,2169 days,5.0,2,0,1,3,3,3,1,0,25.1361011,121.512945,POINT (121.512945 25.1361011),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
731,0.0,1.0,5.0,0.0,1.0,5.0,2.0,3.0,13.0,1.0,1.0,26.0,0.0,2.0,10.0,0.0,2.0,7.0,0.0,0.0,2.0,1.0,5.0,27.0,1.0,1.0,22.0,10.0,27.0,60.0,4.0,12.0,29.0,8.0,15.0,50.0,2020-05-03,16220000,112568,2000-06-15,2,12.0,169.29,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,7262 days,19.0,2,0,2,1,1,1,0,1,25.1409448,121.5092107,POINT (121.5092107 25.1409448),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
732,0.0,1.0,6.0,0.0,1.0,7.0,0.0,3.0,17.0,1.0,1.0,32.0,1.0,1.0,15.0,0.0,2.0,10.0,0.0,0.0,3.0,0.0,4.0,33.0,1.0,1.0,28.0,10.0,29.0,60.0,4.0,14.0,39.0,8.0,14.0,60.0,2020-05-16,3550000,99190,1981-12-31,5,8.0,35.79,1,1,1,Reinforced Concrete,Studio,2020,14016 days,38.0,2,0,2,1,1,1,2,1,25.1372079,121.5104059,POINT (121.5104059 25.1372079),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
733,0.0,0.0,5.0,0.0,1.0,8.0,0.0,2.0,16.0,1.0,1.0,34.0,0.0,1.0,17.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,39.0,1.0,1.0,26.0,7.0,24.0,60.0,2.0,9.0,47.0,8.0,12.0,60.0,2020-04-15,53500000,199050,2014-08-28,2,5.0,287.09,3,2,3,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,2057 days,5.0,2,0,1,3,3,3,0,0,25.1365136,121.5124204,POINT (121.5124204 25.1365136),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
734,0.0,1.0,4.0,0.0,1.0,8.0,1.0,2.0,14.0,1.0,1.0,32.0,0.0,1.0,15.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,4.0,31.0,1.0,1.0,24.0,10.0,23.0,60.0,3.0,10.0,35.0,8.0,12.0,59.0,2020-05-15,4800000,73699,1984-04-19,8,12.0,65.13,1,1,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,13175 days,36.0,2,0,2,1,1,1,2,1,25.1385722,121.5116337,POINT (121.5116337 25.1385722),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
735,0.0,0.0,5.0,0.0,1.0,8.0,0.0,2.0,16.0,1.0,1.0,40.0,0.0,1.0,18.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,38.0,1.0,1.0,26.0,6.0,23.0,60.0,3.0,6.0,45.0,8.0,12.0,60.0,2020-05-11,12480000,102493,2009-02-05,7,13.0,146.76,2,0,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,4113 days,11.0,2,0,1,1,1,1,0,1,25.1372467,121.5134154,POINT (121.5134154 25.1372467),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
736,0.0,1.0,4.0,0.0,1.0,8.0,1.0,2.0,14.0,1.0,1.0,32.0,0.0,1.0,15.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,4.0,31.0,1.0,1.0,24.0,10.0,23.0,60.0,3.0,10.0,35.0,8.0,12.0,59.0,2020-05-21,2400000,73983,1984-04-19,6,12.0,32.44,0,0,0,Reinforced Concrete,Studio,2020,13181 days,36.0,2,0,2,1,1,1,2,1,25.1385722,121.5116337,POINT (121.5116337 25.1385722),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
